rxn_smiles,rxn_type,R,P,isDel
[O]OCOCC>>[CH2]COCOO,1a-1_7mem,[O]OCOCC,[CH2]COCOO,False
[O]OC(C)OCC>>[CH2]COC(C)OO,2a-1_7mem,[O]OC(C)OCC,[CH2]COC(C)OO,False
[O]OCOCCC>>C[CH]COCOO,1a-2_7mem,[O]OCOCCC,C[CH]COCOO,False
[O]OC(C)OCCC>>C[CH]COC(C)OO,2a-2_7mem,[O]OC(C)OCCC,C[CH]COC(C)OO,False
[O]OCOCC(C)C>>C[C](C)COCOO,1a-3_7mem,[O]OCOCC(C)C,C[C](C)COCOO,False
[O]OC(C)(C)OCC>>[CH2]COC(C)(C)OO,3a-1_7mem,[O]OC(C)(C)OCC,[CH2]COC(C)(C)OO,False
[O]OC(C)(C)OCCC>>C[CH]COC(C)(C)OO,3a-2_7mem,[O]OC(C)(C)OCCC,C[CH]COC(C)(C)OO,False
[O]OC(C)OCC(C)C>>C[C](C)COC(C)OO,2a-3_7mem,[O]OC(C)OCC(C)C,C[C](C)COC(C)OO,False
[O]OC(C)(C)OCC(C)C>>C[C](C)COC(C)(C)OO,3a-3_7mem,[O]OC(C)(C)OCC(C)C,C[C](C)COC(C)(C)OO,False
[O]OCCOC>>[CH2]OCCOO,1-1a_7mem,[O]OCCOC,[CH2]OCCOO,False
[O]OC(C)COC>>[CH2]OCC(C)OO,2-1a_7mem,[O]OC(C)COC,[CH2]OCC(C)OO,False
[O]OCCOCC>>C[CH]OCCOO,1-2a_7mem,[O]OCCOCC,C[CH]OCCOO,False
[O]OC(C)COCC>>C[CH]OCC(C)OO,2-2a_7mem,[O]OC(C)COCC,C[CH]OCC(C)OO,False
[O]OCCOC(C)C>>C[C](C)OCCOO,1-3a_7mem,[O]OCCOC(C)C,C[C](C)OCCOO,False
[O]OC(C)(C)COC>>[CH2]OCC(C)(C)OO,3-1a_7mem,[O]OC(C)(C)COC,[CH2]OCC(C)(C)OO,False
[O]OC(C)(C)COCC>>C[CH]OCC(C)(C)OO,3-2a_7mem,[O]OC(C)(C)COCC,C[CH]OCC(C)(C)OO,False
[O]OC(C)COC(C)C>>C[C](C)OCC(C)OO,2-3a_7mem,[O]OC(C)COC(C)C,C[C](C)OCC(C)OO,False
[O]OC(C)(C)COC(C)C>>C[C](C)OCC(C)(C)OO,3-3a_7mem,[O]OC(C)(C)COC(C)C,C[C](C)OCC(C)(C)OO,False
[O]OCCCCOC>>CO[CH]CCCOO,1-2a_7mem,[O]OCCCCOC,CO[CH]CCCOO,False
[O]OC(C)CCCOC>>CO[CH]CCC(C)OO,2-2a_7mem,[O]OC(C)CCCOC,CO[CH]CCC(C)OO,False
[O]OCCCC(C)OC>>CO[C](C)CCCOO,1-3a_7mem,[O]OCCCC(C)OC,CO[C](C)CCCOO,False
[O]OC(C)CCC(C)OC>>CO[C](C)CCC(C)OO,2-3a_7mem,[O]OC(C)CCC(C)OC,CO[C](C)CCC(C)OO,False
[O]OC(C)(C)CCCOC>>CO[CH]CCC(C)(C)OO,3-2a_7mem,[O]OC(C)(C)CCCOC,CO[CH]CCC(C)(C)OO,False
[O]OC(C)(C)CCC(C)OC>>CO[C](C)CCC(C)(C)OO,3-3a_7mem,[O]OC(C)(C)CCC(C)OC,CO[C](C)CCC(C)(C)OO,False
[O]OC(OC)CCC>>[CH2]CCC(OC)OO,2a-1_7mem,[O]OC(OC)CCC,[CH2]CCC(OC)OO,False
[O]OC(OC)CCCC>>C[CH]CCC(OC)OO,2a-2_7mem,[O]OC(OC)CCCC,C[CH]CCC(OC)OO,False
[O]OC(OC)(C)CCC>>[CH2]CCC(C)(OC)OO,3a-1_7mem,[O]OC(OC)(C)CCC,[CH2]CCC(C)(OC)OO,False
[O]OC(OC)(C)CCCC>>C[CH]CCC(C)(OC)OO,3a-2_7mem,[O]OC(OC)(C)CCCC,C[CH]CCC(C)(OC)OO,False
[O]OC(OC)CCC(C)C>>COC(CC[C](C)C)OO,2a-3_7mem,[O]OC(OC)CCC(C)C,COC(CC[C](C)C)OO,False
[O]OC(OC)(C)CCC(C)C>>COC(C)(CC[C](C)C)OO,3a-3_7mem,[O]OC(OC)(C)CCC(C)C,COC(C)(CC[C](C)C)OO,False
